,BRIMNES_329_22,FLEKKE_399_,FYRESDAL_299_,HEMNES_409_24,TARVA_119_,UTKER_299_,UTKER_299_,UTKER_299_,,
100001,0.00,1,1,1,1.00,NaN,,,1,
100027,0.00,,,,1.00,NaN,,,1,
100049,1.00,1,,,,NaN,,,1,
100089,0.00,,,,1.00,NaN,,,1,
100211,0.00,,,,8.00,NaN,,,1,
100347,0.00,24,,36,,NaN,,,1,
100359,4.00,4,,,,NaN,,,1,
100365,12.00,,,,,NaN,,,1,
100372,10.00,4,,,,NaN,,,1,
100514,0.00,,,,10.00,NaN,,,1,
101345,32.00,8,,,,NaN,,,1,
101350,0.00,24,,34,6.00,NaN,,,1,
101352,0.00,,,,,14,,,1,
_101359,4.00,,,,46.00,Nan,,,1,
_101367,0.00,8,,,,Nan,,,1,
_102138,6.00,,,,,Nan,,,1,
_103114,0.00,,,24,,Nan,,,1,
_103430,0.00,,,16,,Nan,,,1,
_104012,0.00,,,17,,Nan,,,1,
_104875,0.00,,,,4.00,Nan,,,1,
_105163,2.00,,,,,Nan,,,1,
_105236,0.00,,,4,4.00,Nan,,,1,
_105307,0.00,58,,,19.00,Nan,,,1,
105330,0.00,,,,6.00,Nan,,,1,
106698,0.00,4,,,,Nan,,,1,
107091,0.00,2,,,,Nan,,,1,
108458,0.00,,,,,4,,,1,
108490,1.00,,,,2.00,1,,,1,
108903,0.00,,,4,,Nan,,,1,
109048,0.00,,,,6.00,Nan,,,1,
109049,0.00,16,,16,,Nan,,,1,
109060,0.00,,,4,35.00,Nan,,,1,
109542,6.00,,,,,Nan,,,1,
109567,16.00,,,,,Nan,,,1,
110525,32.00,30,,32,14.00,Nan,,,1,
110630,0.00,16,,,,Nan,,,1,
110646,6.00,,,,,Nan,,,1,
111401,6.00,8,,8,,Nan,,,1,
111451,0.00,,,,2.00,Nan,,,1,
111631,0.00,,1,,,Nan,,,1,
112975,3.00,,,,,Nan,,,1,
112977,1.00,1,,,,Nan,,,1,
113453,0.00,1,,,,Nan,,,1,
114670,4.00,8,,,,Nan,,,1,
114671,4.00,,,,,Nan,,,1,
115348,0.00,,,,6.00,10,,,1,
115349,0.00,,,,6.00,10,,,1,
116894,54.00,,,50,,Nan,,,1,
117229,0.00,,2,,,Nan,,,1,
117494,0.00,,,,,8,,,1,
117615,0.00,,,3,,Nan,,,1,
118231,2.00,,,,,Nan,,,1,
118301,2.00,,,,,Nan,,,1,
119976,0.00,,,3,,Nan,,,1,
120030,0.00,2,,,,Nan,,,1,
122628,4.00,,,,,Nan,,,1,
122898,0.00,,20,,,Nan,,,1,
123660,2.00,2,,2,2.00,Nan,,,1,
128605,0.00,,,,4.00,Nan,,,1,
128780,0.00,,,,8.00,Nan,,,1,
128874,0.00,,2,,,Nan,,,1,
130485,2.00,2,,2,,Nan,,,1,
130787,0.00,5,,,,Nan,,,1,
131182,0.00,,3,,,Nan,,,1,
139430,0.00,8,,,,Nan,,,1,
139505,0.00,2,,3,,Nan,,,1,
146767,0.00,,8,,,Nan,,,1,
146865,0.00,,37,,,Nan,,,1,
146967,0.00,,2,,,Nan,,,1,
151641,0.00,,,,1.00,Nan,,,1,
152746,0.00,,,,2.00,Nan,,,1,
153552,0.00,,,4,9.00,Nan,,,1,
100215/105251,0.00,3,,,,Nan,,,1,
100602/117056,2.00,,,,,Nan,,,1,
110519/118149,8.00,8,,,,Nan,,,1,
118331/112996,22.00,24,,40,,Nan,,,1,
119030/118224/117434,22.00,8,,,,Nan,,,1,
124328/128763,2.00,,,,,Nan,,,1,
